grid_id,note
TIMG.NE.I19,"Placement note: Ballu bounds the house by the third and fourth streets parallel to the Decumanus and places it equidistant from the Small Northern Baths and the library, which fixes the block one row further north than previously recorded [Ballu 1903: 95; Ballu 1911]."
TIMG.NE.I2,"Second block of the Decumanus row, facing the House of the Gardens across the great street, south-east of the library. An eight-bay portico fronted the Decumanus with four large shops behind it; the two eastern shops stood over well-preserved cellars, one lit by five light-shafts, with a staircase projecting onto the east street. The tablinum kept a mosaic of curved rosettes with birds, a cock, a kingfisher and a stork, now in the museum [Ballu 1911: 85-86]."
TIMG.NE.I20,"The one ruin Ballu records in the third row, directly south of the previous block. A broad stone-paved vestibule with two doors on the east street led to a central atrium where nine stone mangers for Byzantine horses were found; a stone table still stood in the vestibule. Five small rooms lined the south side, a long room ran along the west street, and four rooms closed the north side [Ballu 1911: 80-81]."
TIMG.NE.I25,"The first block of the second row, on the east flank of the Cardo just south of the Small Northern Baths. A door with three steps led from the Cardo into a mosaic-paved vestibule, with an atrium beyond keeping its column bases and a central well, and private baths at the north-east corner. A small cold plunge east of the atrium was later converted into a baptistery when a Christian basilica was built over the eastern part of the house in the Byzantine period; a dedication to the great eternal god by Flavius Donatus and his wife Tertulla was found here [Ballu 1911: 79-80]."
TIMG.NE.I26,"The second block of the second row, east of the basilica house. Four small shops faced the north street, with amphora remains that may point to oil storage, a concreted basin in the south-west corner, and only faint traces of the interior walls [Ballu 1911: 80]."
TIMG.NE.I3,"Third house of the Decumanus row, badly damaged: half the portico columns survive, with four shops on the south front and a limestone-paved atrium surrounded by ten rooms, three keeping concrete floors [Ballu 1911: 86]."
TIMG.NE.I32,"Ballu reached this block first in his tour of the north-east quarter: the one insula worth noting in the first row, immediately east of the Small Northern Baths. Three shops opened onto the northern boulevard, one keeping its back-room; behind them lay a vestibule and the levelled remains of an atrium. The eastern third of the block, five rooms and a large vestibule encroaching on the street, had no communication with the rest of the building [Ballu 1911: 79]."
TIMG.NE.I4,"Fourth insula of the Decumanus row, 22.70 by 26 metres, bounded east by the street along the west wall of the Great Eastern Baths. Five shops opened on the Decumanus and a staircase encroached on the east street. The house had a colonnaded central court and a private bath suite whose hypocaust piles survive. In the Byzantine period a stable was fitted into its largest hall, with nine stone mangers found in place and four more nearby. Earlier visitors took the ruin for an inn; Ballu read it as a private house refitted for Byzantine cavalry [Ballu 1911: 86; the baths first noted Ballu 1903: 54]."
TIMG.NE.I8,"First of the two fifth-row houses, level with the library and one file east of it, entered from the street on its south. A bending corridor vestibule descended four steps to a paved atrium with a basin, and a mosaic-floored portico led to the tablinum. A sandstone latrine seat with three openings came from a western room, and a second stone-paved atrium with an octagonal well lay off the east street. In all, twelve rooms, two atria and a vestibule [Ballu 1911: 82-83]."
TIMG.NE.I9,"Second fifth-row house, on the third file east of the Cardo, beside the street running down to the House of the Gardens, the only paved street of the four that framed it. Little survived beyond threshold traces on the east and north sides, the remains of one important room in the eastern part, and a central atrium [Ballu 1911: 83]."
TIMG.NW.I10,"The one new house Ballu records in the fifth row. A party wall divided it into two equal halves: the eastern half held two dwellings of seven and four rooms, one with a basin, and yielded fine amphorae and stone troughs taken to the museum; the western half held twelve rooms, a good cellar, a basin and shops. Ballu concluded that three families lived in the block. He does not say which position in the row it held; the four other blocks of the row are houses he had already published in 1903, so this record is placed at the row's western end, the only block not yet described, and its position is treated as probable rather than certain [Ballu 1911: 79; Ballu 1903: 96-98]."
TIMG.NW.I11,"Last house of the fourth row, fronting the Cardo. A stone-paved central court of 7.90 by 9.08 metres kept the four corner columns of its porticoes, with a square basin and well at its centre, and a limestone vestibule joined the court to the Cardo. At the north-west corner lay private baths with three heated rooms, a warm room, a hot room and a sweat-room, served by a furnace room off the north street, beside a cold room with a small semicircular plunge 1.20 metres deep [Ballu 1911: 78]."
TIMG.NW.I12,"Ballu's 1903 tour names this house only briefly: the house of Januarius, west of the northern Cardo and separated from it by a then-unexcavated block. His 1911 report places the house of Januarius, with the Christian basilica and baptistery, among the known squares of the north-west quarter's fourth row, and the unexcavated block on the Cardo, dug in 1911, stands at the row's east end. Together the two reports fix this house one block west of the Cardo in the fourth row, where it is placed as probable [Ballu 1903: 96; Ballu 1911: 77-78]."
TIMG.NW.I13,"Ballu records that this 1903 house was largely destroyed when its remains were reused as the vestibule of the Byzantine basilica. His 1911 report counts the basilica block among the known squares of the north-west quarter's fourth row, which places the house in the row's third position, where it is recorded as probable [Ballu 1903: 96; Ballu 1911: 77]."
TIMG.NW.I14,"Second block of the fourth row: a densely divided block of four series of rooms from north to south, ending on the south street in suites two rooms deep, with a paved room and plunge basin at the south-east corner. Its two stone-paved courts, each with a basin and both placed on the eastern street, struck Ballu as its most unusual feature [Ballu 1911: 78]."
TIMG.NW.I15,"First block of the fourth row, along the western boulevard. The northern half is almost effaced, keeping only traces of concrete and mosaic paving. The southern half preserves an axial entrance from the south street: a vestibule between two large corner rooms leads to a central chamber, with a stone-paved atrium and basin on its west and a large room on the east street. Brick tombs of the Christian period, without grave goods, were dug into the ruin [Ballu 1911: 77]."
TIMG.NW.I16,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 3, fifth position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I17,"Ballu placed the entrance on the south, where a door two metres wide led to a vestibule paved in sandstone, with latrines to the right on entering and, to the left, a staircase of which seven steps survive and which led to an upper storey. Facing the door, an inner corridor paved in limestone, 3.55 m wide and 9.75 m long, gave access to all the rooms, and on its north side three intercolumniations opened onto an *atrium* paved in limestone (9.55 by 4.50 m), with a square well in its front part. The west wall of the *tablinum* kept traces of painted plaster imitating marbles of various colours. Ballu found large quantities of wheat and barley, blackened by fire but with the grains intact, and all the columns overturned near their bases, and he concluded from this that the house had been destroyed rapidly [Ballu 1911a: 72-76]. His two accounts differ on one point: the book puts the vestibule in the south-east angle of the house, the 1906 report in the south-west [Ballu 1911a: 72; Ballu, report on 1906, BCTH 1907: 261]. The house was drawn in GIS from the georeferenced plans and satellite imagery in August 2026. The drawing keeps an open question the sources disagree on: Wilson's plan puts the main street door on the east side, while Ballu describes it on the south, beside the staircase and latrines. The southern reading fits Ballu's description best, and both openings are recorded so the question stays visible."
TIMG.NW.I18,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 3, third position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I19,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 3, second position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I20,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 3, first position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I21,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 2, fifth position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I22,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 2, fourth position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I23,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 2, third position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I24,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 2, second position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I25,"Ballu describes the first house of the second row as well preserved, with its entrance on the north, on the axis of the building. Its large paved *atrium*, bordered by porticoes of unequal width, held a large square limestone basin in good condition, 2.10 m per side. In the middle of the basin's north wall stood a kind of stone pipe, pierced at mid-height and once topped by a marble cap with a pine cone, which Ballu read as a fountain with a water jet. Directly south of the *atrium*, the *tablinum* opened through three intercolumniations and kept traces of mosaic. In the eastern part of the *insula*, Ballu noted a room paved in limestone opening on the street to the north, beside a larger room with traces of mosaic that formed the north-east angle [Ballu 1911a: 67]."
TIMG.NW.I26,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 1, fifth position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I27,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 1, fourth position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I28,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 1, third position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I29,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 1, second position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I30,"Placement note: Ballu describes this house inside the city, in the north-west quadrant's row 1, first position counting from the western boulevard; the quarter he frames is bounded by the city's northern and western boulevards and the Cardo, five squares wide by six rows deep [Ballu 1911: 64-79]. The record was previously filed under an extramural NW quarter."
TIMG.NW.I6,"Ballu lists this as the fourth of the isolated houses, facing the building he called the *Schola* across the northern *Cardo Maximus*, between the first and second *decumanus*, with the *voie du Forum* on its west side. On the *Cardo Maximus* it had a portico of five columns and two square piers. A wall running east to west divided it into two equal parts: the southern part had an *atrium* and six rooms, one of which kept a fragment of mosaic paving, and the northern part, which communicated with the southern through three wide doors, had six rooms. The room at the north-west corner held a mosaic that looked ordinary until cleaning on 7 May 1902 revealed Diana at her bath surprised by Actaeon, and Ballu had it moved at once to the museum because of its interest and the richness of its colours [Ballu 1903: 96-97]. Germain gives the room as 6.60 by 5 m, opening through three bays on two columns still in place, and the panel as 2.50 by 2.35 m. The inscription SELIV/S P G at the top of the panel was restored by Cagnat as the mosaicist's signature, *Selius p(in)g(ebat)*, though Germain prefers *p(in)g(it)* or *p(i)c(tor)* [Germain 1969: 19-22]."
TIMG.SE.I2,"Ballu described a house 21 m wide and 24 m deep on the *Decumanus*, with a street portico on eight square pillars of which only the footings remained. An opening of 2.10 m led to a vestibule, and two doors led from it to an *atrium* of 10.50 by 10.60 m with a portico of ten columns. A large stone planter ran around the paved centre, left open for 2.20 m on the side opposite the entrance, and double heads (*bifrons*), of tragic masks and other types, crowned its four stone uprights; the well was 10 m deep. Three bays on two columns opened onto the *tablinum*, and on each side a passage (*fauces*) led to a corner room (*alae*), these rooms closing the house on the south. Ballu noted that the house stood in a space reserved for public buildings and took it for the home of a magistrate or other important person [Ballu 1897b: 224-226]. The 1905 account gives an *atrium* about 10 m square, a portico 2 m wide with ten columns, four across and three deep, a well 9 m deep, geometric mosaics in brown and yellow under the porticoes and a geometric mosaic with plant ornament in the *tablinum* [BCB 1905: 88-92]. Germain calls its dimensions *assez restreintes* [Germain 1969: 37], and Ballu later reported that its columns had been set upright again [Ballu 1903: 110]. Placement note: Germain's plan sets this house in his *insula* 70, the block immediately east of the Forum on the south side of the *Decumanus*, and the project's georeferenced overlay agrees; the record has accordingly been moved to that block from the neighbouring one north of the *Decumanus*."
TIMG.SW.I13,"Placement note: re-derived from Ballu's own street boundaries: the Curie path and the Cardo Maximus South, between the 2nd and 3rd south Decumani [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I14,"Placement note: re-derived from Ballu's own street boundaries: the Cardo Maximus South on the east and the Museum path on the west, between the 2nd and 3rd south Decumani [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I15,Placement note: re-derived from Ballu's own street boundaries: the Museum path on the east and the triumphal-arch path on the west [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid.
TIMG.SW.I17,"Placement note: re-derived from Ballu's own street boundaries: the block north-west of the theatre court, its south side on the 4th south Decumanus [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I19,"Placement note: re-derived from Ballu's own street boundaries: the Cardo Maximus South on the east and the Museum path on the west, separated from the theatre-side block by the Small Central Baths [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I20,Placement note: re-derived from Ballu's own street boundaries: the Museum path on the east and the triumphal-arch path on the west [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid.
TIMG.SW.I22,"Placement note: re-derived from Ballu's own street boundaries: the block immediately south of the twenty-first house, bordered on the east by the theatre court [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I23,Placement note: re-derived from Ballu's own street boundaries: the Curie path on the east and the Cardo Maximus South on the west [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid.
TIMG.SW.I24,"Placement note: re-derived from Ballu's own street boundaries: the west flank of the Cardo Maximus South and the east side of the Museum path, linked to the twenty-second house by a street fountain [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I25,Placement note: re-derived from Ballu's own street boundaries: the Museum path on the east and the triumphal-arch path on the west [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid.
TIMG.SW.I27,"Placement note: re-derived from Ballu's own street boundaries: the Curie path on the west, between the 5th south Decumanus and the south boulevard [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I28,"Placement note: re-derived from Ballu's own street boundaries: the Curie path on the east and the Cardo Maximus South on the west, on the south boulevard row [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I29,"Placement note: re-derived from Ballu's own street boundaries: the Cardo Maximus South on the east and the Museum path on the west, on the south boulevard row [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I3,"Placement note: re-derived from Ballu's own street boundaries: the Curie path on the east, the Cardo Maximus South on the west, and the Decumanus Maximus on the north [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I30,"Placement note: re-derived from Ballu's own street boundaries: the last house in the south-west angle of the original city, between the Museum path and the triumphal-arch path [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I4,"Placement note: re-derived from Ballu's own street boundaries: the Cardo Maximus South on the east and the Museum path on the west, just south of the Decumanus [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I8,"Ballu lists this as the sixteenth of the isolated houses, bounded on the east by the *voie de la Curie*, on the south by the second *decumanus*, on the west by the southern *Cardo Maximus* and on the north by the first *decumanus*, and measuring 20.40 by 20.65 m. He thought it had been occupied by two families, separated by a wall running north to south, although the two parts communicated. The eastern part had seven rooms, two of them antechambers opening on the first and second *decumanus*, and the western part had four rooms and a long vestibule (12.80 m) opening on the second *decumanus* [Ballu 1903: 102]."
TIMG.SW.I9,"Placement note: re-derived from Ballu's own street boundaries: the Cardo Maximus South on the east and the Museum path on the west, between the 1st and 2nd south Decumani [Ballu 1903]. The earlier placement followed his walking order laid mechanically across the grid."
TIMG.SW.I5,"The *Maison de la Piscina* lies on the *Decumanus Maximus*, 12 metres east of the Arch of Trajan by Ballu's account [Ballu 1903: 81]. Its plot, which Ballu gave first as 20 by 50 metres and later as 20.80 by 50, joins two blocks of the original grid across a street that was built over [Ballu 1897b: 228; Ballu 1903: 102]. The half on the main street was largely destroyed, and while Ballu believed it held the main entrance and an *atrium*, the 1905 volume says its purpose cannot be told [Ballu 1897b: 228-229; BCB 1905: 333-334]. In the intact southern half Ballu recorded a peristyle whose open court measured 9.50 by 6.25 m, and an *oecus* of 6.30 by 6.73 m opening onto it through three unequal bays [Ballu 1897b: 229]. The basin that names the house, long with a half-round end, was of blue granite and carried nine pink marble columns 2.30 m high, and half the portico was lost in a rebuilding Ballu dated to the Byzantine period [Ballu 1897b: 229-230]. The 1905 volume calls the court an *atrium* and the south room a *tablinum*, and places baths with hypocausts in the north-east, while Rebuffat counts three porticoes and calls the room a *triclinium* [BCB 1905: 333-334; Rebuffat 1969: 676]. The *oecus* mosaic went to the museum, and Germain dated the fittings probably to the early third century CE [Ballu 1911a: 179; Germain 1969: 42-44]."
